Symbol,Year,Revenue,NetIncome,Equity,Shares
20MICRONS,2025,9116589000.0,623763000.0,4293638000.0,35286502.0
20MICRONS,2024,7759804000.0,560698000.0,3529537000.0,35286502.0
20MICRONS,2023,7007562000.0,418191000.0,2935786000.0,35286502.0
20MICRONS,2022,6114427000.0,345854000.0,2514940000.0,35286502.0
21STCENMGM,2025,163247000.0,123377000.0,510134000.0,10500000.0
21STCENMGM,2024,349546000.0,321731000.0,532669000.0,10500000.0
21STCENMGM,2023,-135208000.0,-180636000.0,206995000.0,10500000.0
21STCENMGM,2022,99744000.0,146578000.0,304812000.0,10500000.0
360ONE,2025,26353100000.0,10153000000.0,70647100000.0,406138438.0
360ONE,2024,20061200000.0,8042100000.0,34497300000.0,406138438.0
360ONE,2023,16471500000.0,6579300000.0,31219500000.0,406138438.0
360ONE,2022,14946400000.0,5777400000.0,30235300000.0,406138438.0
3IINFOLTD,2025,7257600000.0,253500000.0,3068800000.0,207403767.0
3IINFOLTD,2024,8138800000.0,-3135800000.0,2934400000.0,207403767.0
3IINFOLTD,2023,7291100000.0,13700000.0,6428200000.0,207403767.0
3IINFOLTD,2022,6770100000.0,-574900000.0,7036300000.0,207403767.0
3MINDIA,2025,44428602000.0,4760674000.0,18464969000.0,11265070.0
3MINDIA,2024,41868741000.0,5834168000.0,21469034000.0,11265070.0
3MINDIA,2023,39572834000.0,4510192000.0,16774704000.0,11265070.0
3MINDIA,2022,33339389000.0,2719711000.0,21835728000.0,11265070.0
3PLAND,2025,36586000.0,20902000.0,1397045000.0,
3PLAND,2024,28792000.0,18079000.0,987150000.0,
3PLAND,2023,18458000.0,15352000.0,660642000.0,
3PLAND,2022,17394000.0,11547000.0,667397000.0,
5PAISA,2025,2291570000.0,682340000.0,6036420000.0,31251838.0
5PAISA,2024,2593660000.0,544410000.0,5398860000.0,31251838.0
5PAISA,2023,2359730000.0,435670000.0,4632610000.0,31251838.0
5PAISA,2022,2159730000.0,137360000.0,3739750000.0,31251838.0
63MOONS,2025,468204000.0,-409279000.0,34143357000.0,46078537.0
63MOONS,2024,3688358000.0,2153786000.0,33473666000.0,46078537.0
63MOONS,2023,2896778000.0,-163088000.0,31150088000.0,46078537.0
63MOONS,2022,1597650000.0,-531734000.0,30964228000.0,46078537.0
A2ZINFRA,2025,3362675000.0,89731000.0,451660000.0,176119858.0
A2ZINFRA,2024,3884880000.0,-56918000.0,321795000.0,176119858.0
A2ZINFRA,2023,3494416000.0,-1229203000.0,380501000.0,176119858.0
A2ZINFRA,2022,3533250000.0,-1799100000.0,1591408000.0,176119858.0
AAATECH,2025,254555000.0,35103000.0,308251000.0,12826800.0
AAATECH,2024,237946000.0,32120000.0,279561000.0,12826800.0
AAATECH,2023,230004000.0,28684000.0,253854000.0,12826800.0
AAATECH,2022,144016000.0,23384000.0,229446000.0,12826800.0
AADHARHFC,2025,28351700000.0,9118300000.0,63722900000.0,435703710.0
AADHARHFC,2024,23542300000.0,7496400000.0,44497500000.0,435703710.0
AADHARHFC,2023,18810100000.0,5447600000.0,36976600000.0,435703710.0
